Identifier	MapMan	MapManDescription	Localization	GO	GODescription	Synonym
Cre08.g367650	GMM:33.99;GMM:30.5;GMM:27.3.70	development.unspecified;signalling.G-proteins;RNA.regulation of transcription.silencing group		GO:0005515	protein binding	MUT11
Cre08.g358536			Mitochondrion	GO:0008716;GO:0005737	D-alanine-D-alanine ligase activity;cytoplasm	
Cre08.g359950			Secretory pathway			
Cre08.g373367						
Cre08.g377400			Chloroplast			
Cre08.g365141			Secretory pathway			CSE6
Cre08.g379187			Secretory pathway			
Cre08.g368100						
Cre08.g363383						
Cre08.g375751			Chloroplast			
Cre08.g373343						
Cre08.g360900	GMM:29.2.1.99.1.19;GMM:29.2.1.2.1.15	protein.synthesis.ribosomal protein.unknown.small subunit.S19;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S15		GO:0006412;GO:0005840;GO:0003735	translation;ribosome;structural constituent of ribosome	RPS15
Cre08.g363750				GO:0005509	calcium ion binding	
Cre08.g376350	GMM:27.3.70	RNA.regulation of transcription.silencing group		GO:0006333;GO:0005634	chromatin assembly or disassembly;nucleus	ASF1
Cre08.g375850						
Cre08.g358578			Secretory pathway			
Cre08.g381100						
Cre08.g358537			Chloroplast			
Cre08.g369700			Mitochondrion	GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre08.g374400				GO:0005515	protein binding	
Cre08.g384628			Secretory pathway			
Cre08.g362036			Secretory pathway			
Cre08.g374650	GMM:31.6.1.4.2.1	cell.motility.eukaryotes.axonemal dyneins.inner arm.monomeric species				DII3
Cre08.g369150	GMM:35.1.1;GMM:34.16	not assigned.no ontology.ABC1 family protein;transport.ABC transporters and multidrug resistance systems	Chloroplast			
Cre08.g373500			Chloroplast			
Cre08.g363950			Secretory pathway	GO:0016788;GO:0006886;GO:0006505	"hydrolase activity, acting on ester bonds;intracellular protein transport;GPI anchor metabolic process"	
Cre08.g383650						
Cre08.g361551	GMM:29.5.11	protein.degradation.ubiquitin				
Cre08.g362700	GMM:29.5;GMM:13.1.3.4.12	protein.degradation;amino acid metabolism.synthesis.aspartate family.methionine.homocysteine S-methyltransferase	Secretory pathway	GO:0008168;GO:0008152	methyltransferase activity;metabolic process	smm30
Cre08.g381300						
Cre08.g358572	GMM:34.14	transport.unspecified cations		GO:0016021;GO:0006952	integral component of membrane;defense response	
Cre08.g385600	GMM:29.4	protein.postranslational modification				
Cre08.g360400	GMM:20.2.3	stress.abiotic.drought/salt	Secretory pathway	GO:0016020	membrane	ERM1
Cre08.g371700						
Cre08.g365500						
Cre08.g358850			Secretory pathway			FAP386
Cre08.g373878			Mitochondrion			
Cre08.g382200						
Cre08.g358524			Chloroplast			
Cre08.g362750				GO:0046872;GO:0016787;GO:0003676	metal ion binding;hydrolase activity;nucleic acid binding	
Cre08.g363100			Secretory pathway	GO:0008061;GO:0006030;GO:0005576	chitin binding;chitin metabolic process;extracellular region	
Cre08.g360050	GMM:13.2.4.4;GMM:11.1.1.2.4	amino acid metabolism.degradation.branched chain group.leucine;lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation.heteromeric complex.biotin carboxylase				DUR1
Cre08.g359650						
Cre08.g358557						
Cre08.g360550			Mitochondrion	GO:0005507	copper ion binding	ERM3
Cre08.g378300						
Cre08.g372850				GO:0008270	zinc ion binding	
Cre08.g373688			Secretory pathway	GO:0035556;GO:0016849;GO:0009190	intracellular signal transduction;phosphorus-oxygen lyase activity;cyclic nucleotide biosynthetic process	
Cre08.g358560						
Cre08.g372300			Mitochondrion	GO:0016021;GO:0016020	integral component of membrane;membrane	
Cre08.g366800						
Cre08.g358300						
Cre08.g373225			Chloroplast			
Cre08.g384285						
Cre08.g365100	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Secretory pathway			FAP242
Cre08.g376800	GMM:29.2.3;GMM:11.9.4.2	protein.synthesis.initiation;lipid metabolism.lipid degradation.beta-oxidation.acyl CoA DH	Mitochondrion			
Cre08.g362076						
Cre08.g367876						
Cre08.g366600			Mitochondrion			
Cre08.g369976			Chloroplast			
Cre08.g372200			Secretory pathway			
Cre08.g363450			Chloroplast			
Cre08.g370083			Mitochondrion			
Cre08.g373421			Secretory pathway;Chloroplast			
Cre08.g358616	GMM:29.4	protein.postranslational modification	Chloroplast	GO:0006470;GO:0004722;GO:0003824	protein dephosphorylation;protein serine/threonine phosphatase activity;catalytic activity	FAP398
Cre08.g364550	GMM:29.5.11.4.1	protein.degradation.ubiquitin.E3.HECT		GO:0004842	ubiquitin-protein transferase activity	
Cre08.g373365						
Cre08.g363874	GMM:2.2.2.3	major CHO metabolism.degradation.starch.glucan water dikinase	Mitochondrion			
Cre08.g370950						
Cre08.g367200	GMM:33.99;GMM:31.4	development.unspecified;cell.vesicle transport				VPS52
Cre08.g371957	GMM:33.99;GMM:31.99	development.unspecified;cell.unspecified		GO:0031931;GO:0031929	TORC1 complex;TOR signaling	RAPTOR
Cre08.g371840			Mitochondrion			
Cre08.g380800						
Cre08.g373353			Chloroplast			
Cre08.g382689	GMM:33.99;GMM:29.5.11.1;GMM:29.5.11;GMM:29.2.1.2.2.40;GMM:29.2.1.2.1.27;GMM:29.1	development.unspecified;protein.degradation.ubiquitin.ubiquitin;protein.degradation.ubiquitin;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L40;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27;protein.aa activation		GO:0005515	protein binding	UBQ4
Cre08.g358531				GO:0016021	integral component of membrane	
Cre08.g372900	GMM:31.6.1.1	cell.motility.eukaryotes.basal bodies		GO:0005515	protein binding	VFL1
Cre08.g369900	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0005524;GO:0004672	protein phosphorylation;ATP binding;protein kinase activity	
Cre08.g368050			Chloroplast	GO:0006281;GO:0003824	DNA repair;catalytic activity	
Cre08.g360100				GO:0016884	"carbon-nitrogen ligase activity, with glutamine as amido-N-donor"	DUR2
Cre08.g361600	GMM:29.5.11	protein.degradation.ubiquitin	Secretory pathway			
Cre08.g383000	GMM:27.3.3;GMM:17.5.2	"RNA.regulation of transcription.AP2/EREBP, APETALA2/ethylene-responsive element binding protein family;hormone metabolism.ethylene.signal transduction"	Chloroplast	GO:0007275;GO:0006355;GO:0003700	"multicellular organismal development;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre08.g382500	GMM:29.2.1.99.1.25;GMM:29.2.1.2.1.25	protein.synthesis.ribosomal protein.unknown.small subunit.S25;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S25				RPS25
Cre08.g365000			Mitochondrion	GO:0006950;GO:0005516	response to stress;calmodulin binding	
Cre08.g373345						
Cre08.g374700						FAP244
Cre08.g378750						
Cre08.g369550						
Cre08.g359350	GMM:13.2.4.4;GMM:11.1.1.2.4;GMM:11.1.1	amino acid metabolism.degradation.branched chain group.leucine;lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation.heteromeric complex.biotin carboxylase;lipid metabolism.FA synthesis and FA elongation.acetyl CoA carboxylation	Chloroplast			CARB1
Cre08.g377550						
Cre08.g364950						FAP317
Cre08.g380650			Secretory pathway			
Cre08.g375084	GMM:27.1.1	RNA.processing.splicing		GO:0006397;GO:0003676	mRNA processing;nucleic acid binding	
Cre08.g379450	GMM:26.3	"misc.gluco-, galacto- and mannosidases"		GO:0009341;GO:0005975;GO:0004565;GO:0004553	"beta-galactosidase complex;carbohydrate metabolic process;beta-galactosidase activity;hydrolase activity, hydrolyzing O-glycosyl compounds"	
Cre08.g376300			Chloroplast			
Cre08.g380201	GMM:13.1.6.1.10	amino acid metabolism.synthesis.aromatic aa.chorismate.3-dehydroquinate dehydratase/shikimate dehydrogenase	Mitochondrion	GO:0055114;GO:0004764;GO:0003855	oxidation-reduction process;shikimate 3-dehydrogenase (NADP+) activity;3-dehydroquinate dehydratase activity	SHKD1
Cre08.g358583			Secretory pathway			
Cre08.g373368						
Cre08.g358523			Mitochondrion			
Cre08.g358577	GMM:34.14	transport.unspecified cations		GO:0005515	protein binding	
Cre08.g360001						
Cre08.g371650			Chloroplast	GO:0015031;GO:0008565	protein transport;protein transporter activity	TATB
Cre08.g385700	GMM:29.3.4.99	protein.targeting.secretory pathway.unspecified		GO:0006886	intracellular protein transport	SNAPG1
Cre08.g373342						
Cre08.g372800	GMM:27.1.1	RNA.processing.splicing		GO:0005634;GO:0003676	nucleus;nucleic acid binding	
Cre08.g380000						UMM7
Cre08.g377350	GMM:23.4.3;GMM:23.4.2;GMM:23.4.1	nucleotide metabolism.phosphotransfer and pyrophosphatases.uridylate kinase;nucleotide metabolism.phosphotransfer and pyrophosphatases.guanylate kinase;nucleotide metabolism.phosphotransfer and pyrophosphatases.adenylate kinase		GO:0005515	protein binding	FAP180
Cre08.g365550						
Cre08.g362050	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Chloroplast			FAP49
Cre08.g358558						
Cre08.g358538	GMM:16.1.4.5	secondary metabolism.isoprenoids.carotenoids.lycopene beta cyclase	Chloroplast	GO:0016705;GO:0016117	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;carotenoid biosynthetic process"	
Cre08.g364000	GMM:33.99;GMM:3.5;GMM:29.2.2.3.4	development.unspecified;minor CHO metabolism.others;protein.synthesis.ribosome biogenesis.pre-rRNA processing and modifications.WD-repeat proteins		GO:0005515	protein binding	
Cre08.g358571	GMM:23.1.2	nucleotide metabolism.synthesis.purine	Secretory pathway	GO:0035556;GO:0016849;GO:0009190	intracellular signal transduction;phosphorus-oxygen lyase activity;cyclic nucleotide biosynthetic process	cyg70
Cre08.g359700	GMM:18.11	Co-factor and vitamine metabolism.lipoic acid	Mitochondrion	GO:0051539;GO:0051536;GO:0016992;GO:0009107;GO:0003824	"4 iron, 4 sulfur cluster binding;iron-sulfur cluster binding;lipoate synthase activity;lipoate biosynthetic process;catalytic activity"	LAS1
Cre08.g369050			Secretory pathway			
Cre08.g373357						
Cre08.g375350	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)		GO:0016491;GO:0008152	oxidoreductase activity;metabolic process	
Cre08.g381950	GMM:29.4	protein.postranslational modification	Mitochondrion	GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	TAR1
Cre08.g374350						
Cre08.g381050	GMM:29.5.3	protein.degradation.cysteine protease	Secretory pathway	GO:0008234;GO:0006508	cysteine-type peptidase activity;proteolysis	CEP8
Cre08.g382900			Chloroplast			
Cre08.g358530			Mitochondrion			OPR113
Cre08.g381600			Mitochondrion			
Cre08.g364250	GMM:27.3.99	RNA.regulation of transcription.unclassified		GO:0016480	negative regulation of transcription from RNA polymerase III promoter	
Cre08.g368250						
Cre08.g384000	GMM:26.10;GMM:26.1;GMM:17.3.1.1.5	misc.cytochrome P450;misc.misc2;hormone metabolism.brassinosteroid.synthesis-degradation.BRs.metabolic regulation	Mitochondrion	GO:0055114;GO:0020037;GO:0016705;GO:0005506	"oxidation-reduction process;heme binding;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;iron ion binding"	CYP771A1
Cre08.g362500			Chloroplast	GO:0007076;GO:0000796	mitotic chromosome condensation;condensin complex	
Cre08.g358546						
Cre08.g372450	GMM:1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits	Chloroplast	GO:0019898;GO:0015979;GO:0009654;GO:0009523;GO:0005509	extrinsic component of membrane;photosynthesis;photosystem II oxygen evolving complex;photosystem II;calcium ion binding	PSBQ
Cre08.g375450	GMM:26.22	misc.short chain dehydrogenase/reductase (SDR)	Mitochondrion	GO:0016491;GO:0008152	oxidoreductase activity;metabolic process	
Cre08.g365450						
Cre08.g367850						
Cre08.g382950			Mitochondrion			
Cre08.g358900	GMM:23.3.1.2	nucleotide metabolism.salvage.phosphoribosyltransferases.hypoxanthine-guanine phosphoribosyltransferase (HPRT)	Chloroplast	GO:0009116	nucleoside metabolic process	
Cre08.g371250						
Cre08.g363367						
Cre08.g362200	GMM:3.2.4	minor CHO metabolism.trehalose.trehalase				
Cre08.g373550				GO:0016787	hydrolase activity	
Cre08.g385100						EFH5
Cre08.g385250						
Cre08.g373916	GMM:27.1.19	RNA.processing.ribonucleases		GO:0004527;GO:0003676	exonuclease activity;nucleic acid binding	
Cre08.g359200	GMM:31.2;GMM:20.2.5	cell.division;stress.abiotic.light				
Cre08.g360801			Chloroplast			
Cre08.g363150				GO:0008061;GO:0006030;GO:0005576	chitin binding;chitin metabolic process;extracellular region	
Cre08.g360444						
Cre08.g365050			Secretory pathway			FAP409
Cre08.g369850	GMM:34.16	transport.ABC transporters and multidrug resistance systems		GO:0055085;GO:0042626;GO:0016887;GO:0016021;GO:0006810;GO:0005524	"transmembrane transport;ATPase activity, coupled to transmembrane movement of substances;ATPase activity;integral component of membrane;transport;ATP binding"	
Cre08.g358549						
Cre08.g384900	GMM:30.6;GMM:3.6;GMM:29.4	signalling.MAP kinases;minor CHO metabolism.callose;protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	FAP356
Cre08.g370550			Mitochondrion	GO:0055114;GO:0050660;GO:0016491;GO:0003824	oxidation-reduction process;flavin adenine dinucleotide binding;oxidoreductase activity;catalytic activity	
Cre08.g370900			Secretory pathway			
Cre08.g376850						
Cre08.g367750			Secretory pathway			
Cre08.g369100			Secretory pathway			
Cre08.g366579						
Cre08.g360850			Mitochondrion	GO:0005524	ATP binding	
Cre08.g361100	GMM:18.1;GMM:18	Co-factor and vitamine metabolism.molybdenum cofactor;Co-factor and vitamine metabolism	Secretory pathway	GO:0005515	protein binding	
Cre08.g372716			Mitochondrion			
Cre08.g377600			Secretory pathway	GO:0010508	positive regulation of autophagy	ATG14
Cre08.g373356	GMM:29.4	protein.postranslational modification	Chloroplast			
Cre08.g373363						
Cre08.g373414			Secretory pathway			
Cre08.g373250	GMM:29.5.11.20;GMM:29.5	protein.degradation.ubiquitin.proteasom;protein.degradation		GO:0051603;GO:0019773;GO:0006511;GO:0005839;GO:0004298;GO:0004175	"proteolysis involved in cellular protein catabolic process;proteasome core complex, alpha-subunit complex;ubiquitin-dependent protein catabolic process;proteasome core complex;threonine-type endopeptidase activity;endopeptidase activity"	POA2
Cre08.g380763			Secretory pathway			
Cre08.g378850	GMM:23.1.3	nucleotide metabolism.synthesis.PRS-PP	Chloroplast	GO:0009165;GO:0004749;GO:0000287	nucleotide biosynthetic process;ribose phosphate diphosphokinase activity;magnesium ion binding	RPPK1
Cre08.g358521						
Cre08.g371918			Chloroplast			
Cre08.g358326			Chloroplast			
Cre08.g382700	GMM:29.5.11.1;GMM:29.5.11;GMM:29.2.1.2.2.40;GMM:29.2.1.2.1.27;GMM:29.1	protein.degradation.ubiquitin.ubiquitin;protein.degradation.ubiquitin;protein.synthesis.ribosomal protein.eukaryotic.60S subunit.L40;protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S27;protein.aa activation	Secretory pathway	GO:0005515	protein binding	UBQ3
Cre08.g366350						
Cre08.g368650			Secretory pathway			
Cre08.g381550			Chloroplast			
Cre08.g377850			Secretory pathway			
Cre08.g384600			Mitochondrion			
Cre08.g368026			Mitochondrion			
Cre08.g373351			Secretory pathway			
Cre08.g363250						
Cre08.g380300	GMM:29.4	protein.postranslational modification		GO:0055114;GO:0030091;GO:0016671;GO:0008113;GO:0006979	"oxidation-reduction process;protein repair;oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor;peptide-methionine (S)-S-oxide reductase activity;response to oxidative stress"	MSRA3
Cre08.g362019	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins	Chloroplast			FAP408
Cre08.g375400	GMM:31.6.1.9;GMM:27.3.22	cell.motility.eukaryotes.flagellar adhesion and gamete fusion;RNA.regulation of transcription.homeobox transcription factor family (HB)	Mitochondrion	GO:0006355;GO:0003677	"regulation of transcription, DNA-templated;DNA binding"	GSM1
Cre08.g383050			Secretory pathway			
Cre08.g364989			Mitochondrion			
Cre08.g364600						
Cre08.g386100	GMM:26.1	misc.misc2				CYP744A5P
Cre08.g364931	GMM:31.6.1.10	cell.motility.eukaryotes.flagellar associated proteins				FAP316
Cre08.g358100						
Cre08.g380600	GMM:29.4;GMM:27.1.1	protein.postranslational modification;RNA.processing.splicing		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre08.g384250	GMM:29.4	protein.postranslational modification		GO:0006468;GO:0004672	protein phosphorylation;protein kinase activity	
Cre08.g363400			Mitochondrion			
Cre08.g382300	GMM:29.8	protein.assembly and cofactor ligation	Chloroplast			CCB4
Cre08.g372950	GMM:16.1.1.7	secondary metabolism.isoprenoids.non-mevalonate pathway.HDR	Chloroplast	GO:0051745;GO:0050992;GO:0046872;GO:0019288	"4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity;dimethylallyl diphosphate biosynthetic process;metal ion binding;isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"	IDS1
Cre08.g369720	GMM:34.16	transport.ABC transporters and multidrug resistance systems		GO:0055085;GO:0042626;GO:0016887;GO:0016021;GO:0006810;GO:0005524	"transmembrane transport;ATPase activity, coupled to transmembrane movement of substances;ATPase activity;integral component of membrane;transport;ATP binding"	
Cre08.g375050			Chloroplast			FAP86
Cre08.g378800	GMM:27.3.9	RNA.regulation of transcription.C2C2(Zn) GATA transcription factor family		GO:0043565;GO:0008270;GO:0006355;GO:0003700	"sequence-specific DNA binding;zinc ion binding;regulation of transcription, DNA-templated;transcription factor activity, sequence-specific DNA binding"	
Cre08.g365950	GMM:26.5;GMM:11.7	misc.acyl transferases;lipid metabolism.unassigned	Chloroplast	GO:0016747	"transferase activity, transferring acyl groups other than amino-acyl groups"	
Cre08.g366200			Mitochondrion			
Cre08.g367300	GMM:27.3.52	RNA.regulation of transcription.global transcription factor group		GO:0005515	protein binding	
Cre08.g384320			Mitochondrion			
Cre08.g370000			Chloroplast			
Cre08.g373200	GMM:30.99	signalling.unspecified				
Cre08.g365400	GMM:29.2.1.1.1.2.31	protein.synthesis.ribosomal protein.prokaryotic.chloroplast.50S subunit.L31	Chloroplast	GO:0006412;GO:0005840;GO:0005622;GO:0003735	translation;ribosome;intracellular;structural constituent of ribosome	PRPL31
